NPSN,Name,Level,Status,Location,Subdistrict,City,Province,Link
69807874,KB BINA MELATI,KB,SWASTA,Jalan Desa Ketapang Rt 02 Rw02,Ketapang Kec. Ulujami,Kab. Pemalang,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F3426B62-F156-45DD-A97E-B973090A278E
69968754,PAUD NURUL HIKMAH,KB,SWASTA,Jalan Sukamulya Indah No.11/1B RT.03 RW....,Sukagalih Kec. Sukajadi,Kota Bandung,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E68C0371-459E-453E-9313-B97331FAB6D5
69958458,KB HARAPAN MAJU,KB,SWASTA,Jl. Desa Beringin Tinggi,Beringin Tinggi Kec. Jangkat Timur,Kab. Merangin,Jambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/694423D2-A7B7-4AEF-9415-B97364DE75BB
69803303,KB Mutiara,KB,SWASTA,Trans Sulawesi,KASIA Kec. Sumalata,Kab. Gorontalo Utara,Gorontalo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/45C203B9-A81E-47FD-B106-B973AD960065
69823133,KB AL-AMIN,KB,SWASTA,DUSUN TIMBUAN DESA TAMBAKMENJANGAN KECAM...,Tambakmenjangan Kec. Sarirejo,Kab. Lamongan,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D599152D-14AB-4989-9F3D-B974D4B24300
69944701,PAUD SINAR WEMEDA,KB,SWASTA,Wemeda,Wemeda Kec. Malaka Timur,Kab. Malaka,Nusa Tenggara Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8E49D594-2502-46FB-A0AA-B975103AB17F
69769531,PAUD ARRAISYAH BEROK,KB,SWASTA,JL. RAYA BEROK NO.1066 KOBA,BEROK Kec. Koba,Kab. Bangka Tengah,Kepulauan Bangka Belitung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3CD9C2B1-2FC0-4BA4-850A-B9769D6045E1
69807031,AL MUHGTAFIR,KB,SWASTA,jl ir h.juanda no 436,PATOKAN Kec. Kraksaan,Kab. Probolinggo,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F4170FA1-8943-4130-B8F1-B97995847424
69896593,KB ERLANGGA,KB,SWASTA,JL. DR SOEBANDI Gg. MINI No.24,Patrang Kec. Patrang,Kab. Jember,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E2756220-7567-4BB5-B92E-B97BDFA2D70C
69920002,PAUD TABITA ARMOPA,KB,SWASTA,Kampung Armopa,Armopa Kec. Bonggo,Kab. Sarmi,Papua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B503037A-B79C-419E-A314-B97C0CEA2D3B
69802144, PAUD AL FAJRI,KB,SWASTA,Jl Yos Sudarso  Tabak,Madukoro Kec. Kotabumi Utara,Kab. Lampung Utara,Lampung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2916CC17-F40D-4422-925A-B97D4D828460
69911598,KB AL MUMIN,KB,SWASTA,Purwajaya R. 25/08,Parapatan Kec. Purwadadi,Kab. Subang,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20795B60-51A9-4A42-B097-B97DDD7C7CC5
69867883,KB SEHATI,KB,SWASTA,"Jln. Dermaga Dusun Limba, Limbatihu",Limbatihu Kec. Paguyaman Pantai,Kab. Boalemo,Gorontalo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DEBF4015-21DF-4D6E-8149-B97F0FDE223A
69817304,KB DARUNNISA,KB,SWASTA,Jl. Raya Pacet No. 4 Rt. 01 / 05,Cikoneng Kec. Ciparay,Kab. Bandung,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7267104E-9C0A-4293-ACE0-B97FF9AF32F1
69969082,KB ISLAM KASMAN BIMA,KB,SWASTA,DESA DENA KEC. MADAPANGGA,Dena Kec. Mada pangga,Kab. Bima,Nusa Tenggara Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D27A09D8-202B-4C2C-BF99-B98112B017E8
69791803,KB MELATI,KB,SWASTA,DURIAN,Talang Pantai Kec. Bungo Dani,Kab. Bungo,Jambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/86859B7D-FEDB-4532-A4E5-B9816D967ABD
69868797,KB NURUL IHSAN,KB,SWASTA,KP. CEMPLANG RT. 01/07,Sukamaju Kec. Cibungbulang,Kab. Bogor,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E5557EF3-7E2D-43D9-8C11-B98245F5AA74
69909501,KB Repoblik,KB,SWASTA,Jl. Poros Satandung,Lembang Satandung Kec. Saluputti,Kab. Tana Toraja,Sulawesi Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C049A266-B375-4AFE-966D-B982D5B8D040
69851326,KB AS SIDDAH,KB,SWASTA,SOSOK RT.3 RW.3,Honggosoco Kec. Jekulo,Kab. Kudus,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/21010D3C-2A4D-417E-9822-B9835483C16B
69783527,SRI INDAH,KB,SWASTA,DUSUN V,KWALA INDAH Kec. Sei Suka,Kab. Batubara,Sumatera Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0F24CE19-0D8F-49E7-B814-B98410F419A3
69954204,PAUD Anak Ceria,KB,SWASTA,Lumban Mamukka,SIMPANG SIGURAGURA Kec. Porsea,Kab. Toba,Sumatera Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E865AE92-7BC2-4B31-B2DB-B98418768085
69896962,KBIT INSAN KAMIL,KB,SWASTA,Tegalarum RT. 03 RW. XIII,Cangakan Kec. Karanganyar,Kab. Karanganyar,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/131C1282-B908-4D5B-8947-B98524BA2E1B
69841784,PG MUSLIMAT NU 033 AS-SAKINAH,KB,SWASTA,SINGAJAYA IIINO. 1,SINGOSAREN Kec. Jenangan,Kab. Ponorogo,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/91268F95-40D7-4C8C-B7EB-B98795CE1747
69801741,KB ALDI AZIZI,KB,SWASTA,JLN.PROTOKOL,SUMBER MULYO Kec. Marbau,Kab. Labuhan Batu Utara,Sumatera Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/716B10D8-248A-460A-9E85-B9880AD61B22
69792604,KB AISYIYAH POSO,KB,SWASTA,WOLTER MONGINSIDI NO. 25,BONESOMPE Kec. Poso Kota Utara,Kab. Poso,Sulawesi Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/985007E9-AEDE-4A7D-AFA7-B98990518129
69851007,KB MAWAR,KB,SWASTA,NGELOSARI RT 02 RW 01,Sambirejo Kec. Jumantono,Kab. Karanganyar,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DD2AF37D-5D15-4251-9272-B98B1717A894
69807865,KB MUTIARA,KB,SWASTA,JL KARANG SURU NO 2,Suru Kec. Bantarbolang,Kab. Pemalang,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9E9CED85-5612-479D-A97E-B98BC24E58ED
70005377,PAUD TWINKLE STARS EARLY CHILDHOOD EDUCATION CENTER,KB,SWASTA,Jl. Flamboyan Blok F2/12 Taman ratu No.6,Duri Kepa Kec. Kebon Jeruk,Kota Jakarta Barat,D.K.I. Jakarta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9F1FB740-E595-4E7B-8986-B98BF7171480
69850384,KB RIYADUL MUBTADIN,KB,SWASTA,DSN. MULYASARI RT.02 RW.03,Padasari Kec. Cimalaka,Kab. Sumedang,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/42129AE1-DB13-476E-B253-B98C98FDFD05
70003817,PAUD NURUL HUDA,KB,SWASTA,Jl. Raya Kerinci - Sumbar,PELOMPEK PASAR BARU Kec. Gunung Tujuh,Kab. Kerinci,Jambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/94C37392-E2C3-4BF9-9AD1-B98CCD011463
69839026,KELOMPOK BERMAIN HIDAYATUS SHIBYAN,KB,SWASTA,DESA PUCANGAN,Pucangan Kec. Montong,Kab. Tuban,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B7934FDB-BD83-4F03-8283-B98D4ADAF514
69899608,KB. BUNGA TANJUNG,KB,SWASTA,JL. H. Awang Saleh RT. 004,Tanjung Batu Kec. Tenggarong Seberang,Kab. Kutai Kartanegara,Kalimantan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EE3363C2-7EFF-4B72-A289-B98D7BC24855
69813097,KB BUNGA BANGSA,KB,SWASTA,JOMBORAN RT 05,Gilangharjo Kec. Pandak,Kab. Bantul,D.I. Yogyakarta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/89B6FC16-73FE-4E85-9951-B98E39769670
69842963,KB AMANAH,KB,SWASTA,JALAN RAYA CIPAKU RT 03 RW 03,Cipaku Kec. Mrebet,Kab. Purbalingga,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/22675A35-BB43-49E5-BE94-B990F303FEBB
69875227,KB TUNAS HARAPAN,KB,SWASTA,JALAN LINTAS TIMUR DUSUN III DESA SERIJA...,SERIJABO Kec. Sungai Pinang,Kab. Ogan Ilir,Sumatera Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BB8214BF-4836-4CE8-AF92-B9947670B9ED
69893013,KB PELANGI,KB,SWASTA,PTPN IX KEBUN JOLLONG,Sitiluhur Kec. Gembong,Kab. Pati,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/942B9EC8-34FC-49B8-AFE9-B998D86BE7E7
69792570,KB PANDE LOE,KB,SWASTA,"Jalan Makasar, No. 103",Pandayora Kec. Pamona Selatan,Kab. Poso,Sulawesi Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AEFBB9B8-248E-4AC3-AEBE-B999531148B8
69880953,KB KIANSANTANG,KB,SWASTA,JL. DARTA RT 04 RW 03 DESA GUNUNGLEUTIK,GUNUNGLEUTIK Kec. Ciparay,Kab. Bandung,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/19F91C4B-BE0F-4DD4-B8A4-B99A4E3F5286
69837389,KB AL AMIN,KB,SWASTA,SELANG,Bendungan Kec. Karangmojo,Kab. Gunung Kidul,D.I. Yogyakarta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BD7F599C-8143-4B4A-83ED-B99A584D5DF6
69916603,PAUD SADAKRIS,KB,SWASTA,DESA BOTONAAI,Humenesihene asi Kec. Tugala Oyo,Kab. Nias Utara,Sumatera Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BF9B0224-07FE-4C42-BAF4-B99A9B6C62B8
69910328,PAUD TERATE II,KB,SWASTA,Tugumulyo,Tugumulyo Kec. Lempuing,Kab. Ogan Komering Ilir,Sumatera Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FBF063A9-4F4E-4136-96DF-B99B2CDA144A
69980537,KOBER NURFADILLAH,KB,SWASTA,DUSUN JAMURESI RT 09 RW 08,Sukajaya Kec. Rajadesa,Kab. Ciamis,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AF83F4F5-897C-43B9-9464-B99C17A85293
69947217,PAUD MASA DEPAN BERHASIL,KB,SWASTA,JL. BILL ISU RT.16 RW.8,Oe Ekam Kec. Amanuban Timur,Kab. Timor Tengah Selatan,Nusa Tenggara Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F9094F03-2B4F-4595-B72A-B99D900605AA
69935128,PAUD MAKATRAYA,KB,SWASTA,Desa Makatara Timur,Makatara Timur Kec. Beo Utara,Kab. Kepulauan Talaud,Sulawesi Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D8E45109-EB04-443C-9706-B99DD024144F
69805846,PAMARDI SIWI,KB,SWASTA,GELANG,KENTENG Kec. Purwantoro,Kab. Wonogiri,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/53A4C34E-1B14-49A7-B006-B99E8E7E17D6
69892087,KB DOA BUNDA,KB,SWASTA,Jl. Danang Lelo,- Kec. Batang Peranap,Kab. Indragiri Hulu,Riau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6F5707D8-853F-4B79-993A-B99ECBCE1CEE
69920881,PAUD KAMBOJA,KB,SWASTA,DESA LUMBAN SILINTONG,Lumban Silintong Kec. Pagaran,Kab. Tapanuli Utara,Sumatera Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C00F3DBB-C66C-4E6D-A2B3-B99F32BD07FF
