Link,Address,Akreditasi,Operator,Guru,Siswa Laki-laki,Siswa Perempuan,Rombongan Belajar,Penyelenggaraan,Manajemen Berbasis Sekolah,Semester Data,Akses Internet,Sumber Listrik,Daya Listrik,Luas Tanah,Ruang Kelas,Laboratorium,Perpustakaan,Sanitasi Siswa
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CD0E85CB-19F6-46CB-8D1F-E7C0789B8B97,"Gerilya Parit 8, -, Kec. Tembilahan Hulu, Kab. Indragiri Hilir Prov. Riau",,-,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EB46DECB-0EBC-4B83-A587-EC51B96CF356,"JL. LINTAS TIMUR MASAT, -, Kec. Kemuning, Kab. Indragiri Hilir Prov. Riau",B,"Samini, A.Md",0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3A10AEBB-F95D-4C3C-9446-F327F535F7EB,"JL. PESANTREN MUGOMULYO KM 10, LINTAS UTARA, Kec. Keritang, Kab. Indragiri Hilir Prov. Riau",B,IRPAN PEBRIANSAH,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/680367B0-F395-4397-A37F-F621BFFE5CED,"PARIT 18 RT.09 RW.05 PASENGGERAHAN, Pasenggerahan, Kec. Sungai Batang, Kab. Indragiri Hilir Prov. Riau",,NURDIANA SAFITRI,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ADFC6B1C-906A-4400-844D-F93BC64EDC88,"JL. H.ARIEF LR.BELIDA, Pulau Palas, Kec. Tembilahan Hulu, Kab. Indragiri Hilir Prov. Riau",B,MIA AFIDA,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EA5FB7D2-80E0-4113-B5FF-05166C114280,"JL AHMAD YANI BULUH RAMPAI, -, Kec. Seberida, Kab. Indragiri Hulu Prov. Riau",B,EMARIA MANDALINA,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6FBC4BE5-BBE6-4F83-B091-108973BB6A13,"JLN LINTAS TIMUR KERAMPAL, -, Kec. Rengat Barat, Kab. Indragiri Hulu Prov. Riau",,-,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4A1E3B72-A209-46E0-AAFF-3378BEA406B6,"Dusun Kayu kawan Sungai Akar, SUNGAI AKAR, Kec. Batang Gansal, Kab. Indragiri Hulu Prov. Riau",,Lilis Lendra Yanis,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5DAB0C11-2EEF-4354-B1CD-3428DDAC1B11,"DESA RAWA BANGUN, Rawa Bangun, Kec. Rengat, Kab. Indragiri Hulu Prov. Riau",,isna khaeriah,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E972F2B0-D42D-4325-8823-359A070E2AFC,"Jl. Lintas Timur RT. 02 RW. 01 Putihan Kel. Pangkalan Kasai , -, Kec. Seberida, Kab. Indragiri Hulu Prov. Riau",B,TITIK MASNUNAH,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/99969E0C-C8C2-459C-B480-45DFDB1DC110,"JL. LINTAS TIMUR SIMPANG TALAU REDANG SEKO, -, Kec. Lirik, Kab. Indragiri Hulu Prov. Riau",,Uswatun CHasanah,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/88B0721A-9E19-4E99-A681-49903CED69AF,"Jl. Masjid Desa Rimpian, -, Kec. Lubuk Batu Jaya, Kab. Indragiri Hulu Prov. Riau",B,RISALATUL MU'AWANAH,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EF90AFEC-8A44-45E2-A9BA-4EEE58330F91,"KOMPLEK MASJID TAQWA JL. SUPRIYADI RT. 06/ RW.03, -, Kec. Lubuk Batu Jaya, Kab. Indragiri Hulu Prov. Riau",C,NUR ERFINA,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
