NPSN,Name,Level,Status,Location,Subdistrict,City,Province,Link
69890541,TK NEGERI 01 KOTO BARU,TK,NEGERI,PADANG BINTUNGAN I,SIALANG GAUNG Kec. Koto Baru,Kab. Dharmasraya,Sumatera Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/536B8164-BEED-4C7A-9078-0010A7A3AC8F
69934078,TK PEMBINA,TK,NEGERI,"Puruk Cahu, Kec. Murung",Puruk Cahu Kec. Murung,Kab. Murung Raya,Kalimantan Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CF0A72E3-57D7-4447-9EF6-00143A69DDC7
69797978,TK NEGERI LAMBUSANGO,TK,NEGERI,JL.POROS KAPONTORI,Lambusango Kec. Kapontori,Kab. Buton,Sulawesi Tenggara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/691DE546-7D3B-4BAF-B101-001EE29E0EA3
69979935,TK NEGERI PEMBINA SIMPANG EMPAT,TK,NEGERI,Jl. Datu Bangkala Desa Empat,Simpang Empat Kec. Simpang Empat,Kab. Banjar,Kalimantan Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/64AF8F84-113A-4533-8D99-001F5176446A
69828490,TK NEGERI 3 BENDAHARA,TK,NEGERI,DUSUN TELOK BERTEH,Teluk Kemiri Kec. Bendahara,Kab. Aceh Tamiang,Aceh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A29D6BDD-1761-4583-A6E0-001F60F72C36
40315281,TK NEGERI DHARMA WANITA CAB. DINAS PENDIDIKAN PANRENG,TK,NEGERI,Jl. Pelita,Panreng Kec. Baranti,Kab. Sidenreng Rappang,Sulawesi Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20329C0D-1954-4B72-85E3-0021940C88A8
69828380,TK NEGERI 1 LAKAMBAU,TK,NEGERI,Jln. Gajah Mada,Lakambau Kec. Batauga,Kab. Buton Selatan,Sulawesi Tenggara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/766DDF9C-BB84-4318-9739-002472CFE9B5
30311796,UPTD TK NEGERI PEMBINA TAKISUNG,TK,NEGERI,JL. Mandar Rt.01,Gunung Makmur Kec. Takisung,Kab. Tanah Laut,Kalimantan Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5AB9C3BB-6163-4D60-BE16-003D789D9CC0
69921225,PAUD AL BARIQ,KB,NEGERI,Jl. Raya Kramat,KRAMAT Kec. Taliabu Barat,Kab. Pulau Taliabu,Maluku Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/314D88A3-0984-445D-8EF6-0027CB4D8ADB
69896273,KB INDAH KARYA,KB,NEGERI,Jl. A. Rani,Kuala Secapah Kec. Mempawah Hilir,Kab. Mempawah,Kalimantan Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9F594EBC-CD90-477A-A067-0027EBA4EA3B
69915600,PAUD KASIH IBU LEMPUING JAYA,KB,NEGERI,Ds. Tania Makmur,Tania Makmur Kec. Lempuing Jaya,Kab. Ogan Komering Ilir,Sumatera Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4AFC8DD5-4D70-485D-B95A-005E65152C7F
69877386,PAUD BARUYU LASARA,KB,NEGERI,BARUYU LASARA,Baruyu Lasara Kec. Pulau-Pulau Batu,Kab. Nias Selatan,Sumatera Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9AD2C928-C018-4115-89AA-0124BEE26E33
69891827,K. HARAPAN BARU,KB,NEGERI,JL. BALI LEDO,- Kec. Loli,Kab. Sumba Barat,Nusa Tenggara Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/041D2801-1DFE-43C4-ADDB-016A198CC5FA
69902316,PAUD Hilionaha,KB,NEGERI,Desa Hilionaha,Hilionaha Kec. Onolalu,Kab. Nias Selatan,Sumatera Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/18F880F5-C99B-42CD-AE03-01A8F480C338
70010762,KB NEGERI 35 JAGAKARSA,KB,NEGERI,"PKBM Negeri 35, Jl. Kebagusan Wates, RT....",Jagakarsa Kec. Jagakarsa,Kota Jakarta Selatan,D.K.I. Jakarta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/77F1046C-28D8-4E30-B7B6-01DA3AA20EF2
70026927,KB PAUD ANGGREK BINAAN SPNF WILAYAH I,KB,NEGERI,"Jln. Kayu Putih, RT. 001, RW. 001",Kesetnana Kec. Mollo Selatan,Kab. Timor Tengah Selatan,Nusa Tenggara Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F898D88D-6501-4D95-97C8-022D9D174334
70002414,TPA Negeri Bale Bermain Raden Ajeng Kartini,TPA,NEGERI,"Dinas Pendidikan Prov. DKI Jakarta, Jl. ...",Kuningan Timur Kec. Setia Budi,Kota Jakarta Selatan,D.K.I. Jakarta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C3075B94-207B-431C-A028-06F8A0F4A004
70005694,TPA Negeri Bina Tunas Jaya XIV,TPA,NEGERI,Jl. Bukit Duri Tebet RT 008/001,Bukit Duri Kec. Tebet,Kota Jakarta Selatan,D.K.I. Jakarta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/407B5830-517A-4630-9A25-103412937CDB
69857598,PENDIDIKAN ANAK USIA DINI NEGERI PERCONTOHAN ,TPA,NEGERI,JORONG MUARO GAMBOK,MUARO Kec. Sijunjung,Kab. Sijunjung,Sumatera Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CC507325-DD74-460B-8458-12A3AC5804D7
69991042,TPA Negeri Bale Bermain Serasi,TPA,NEGERI,JL. PRAPANCA RAYA NO. 9,Petogogan Kec. Kebayoran Baru,Kota Jakarta Selatan,D.K.I. Jakarta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BC7D9D2D-1404-47B4-AD17-17BD69C3A16F
